id,title,description,availability,condition,price,link,image_link,brand,google_product_category,fb_product_category,sale_price,item_group_id,gender,age_group,material,shipping
big-buck-down-mug-whitetail-deer-hunter-coffee-cup,"Big Buck Down Mug, Whitetail Deer Hunter Coffee Cup, Hunt Camp Bragging Rights Gift for Dad, Hunting Birthday Christmas Gift","Steam rising off black coffee before the sun clears the ridge, this Big Buck Down mug features a bold, detailed whitetail illustration with a proud rack, paired with rugged camo-pattern lettering that reads like a campfire brag and a grin. Free shipping from our Etsy shop.",in stock,new,18.99 USD,https://curatedthreadsoutdoors.com/products/big-buck-down-mug-whitetail-deer-hunter-coffee-cup?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=big-buck-down-mug-whitetail-deer-hunter-coffee-cup,https://i.etsystatic.com/57889570/r/il/eb83af/8408294947/il_1588xN.8408294947_re8x.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Home & Garden > Kitchen & Dining,,,,,ceramic,US::Standard:0.00 USD
born-to-hunt-hoodie-coonhound-hunting-dog-sweatshirt,"Born to Hunt Hoodie, Coonhound Hunting Dog Sweatshirt, Walker Plott Black and Tan Hound Gift for Dad, Hunter Birthday Christmas Gift","A bold Walker, Plott, and Black and Tan hound scene on a warm 8 oz cotton-poly fleece hoodie built for cool autumn ridges. Free shipping from our Etsy shop.",in stock,new,49.99 USD,https://curatedthreadsoutdoors.com/products/born-to-hunt-hoodie-coonhound-hunting-dog-sweatshirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=born-to-hunt-hoodie-coonhound-hunting-dog-sweatshirt,https://i.etsystatic.com/57889570/r/il/2aba87/8423147294/il_1588xN.8423147294_1lqt.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton-polyester blend,US::Standard:0.00 USD
born-to-hunt-shirt-coonhound-hunting-dog-tee,"Born to Hunt Shirt, Coonhound Hunting Dog Tee, Walker Plott Black and Tan Hound Gift for Dad, Hunter Birthday Christmas Gift Idea","A bold Walker, Plott, and Black and Tan hound scene on soft 100% cotton for cold autumn mornings on the ridge. Free shipping from our Etsy shop.",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/born-to-hunt-shirt-coonhound-hunting-dog-tee?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=born-to-hunt-shirt-coonhound-hunting-dog-tee,https://i.etsystatic.com/57889570/r/il/cb8e3f/8423107970/il_1588xN.8423107970_n1c2.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton,US::Standard:0.00 USD
coonhound-hunting-canvas-walker-plott-hound-wall-art,"Coonhound Hunting Canvas, Walker Plott Black and Tan Hound Wall Art, Framed Cabin Decor, Gift for Hunter Dad Grandpa Husband","A framed cabin-ready canvas of Walker, Plott, and Black and Tan hounds on the run through frost-touched timber. Free shipping from our Etsy shop.",in stock,new,59.99 USD,https://curatedthreadsoutdoors.com/products/coonhound-hunting-canvas-walker-plott-hound-wall-art?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=coonhound-hunting-canvas-walker-plott-hound-wall-art,https://i.etsystatic.com/57889570/r/il/0d75df/8471019037/il_1588xN.8471019037_4t6k.jpg,Curated Threads Outdoors,"Home & Garden > Decor > Artwork > Posters, Prints, & Visual Artwork",Home & Garden,,,,,canvas,US::Standard:0.00 USD
curated-threads-outdoors-hoodie-mountain-fishing-hunting-sweatshirt,"Curated Threads Outdoors Hoodie, Mountain Fishing Hunting Sweatshirt, Adventure Gift","The Curated Threads Outdoors hoodie carries a small chest emblem and a detailed back-print landscape for the folks who chase rivers, ridges, and campfire smoke. Free shipping from our Etsy shop.",in stock,new,49.99 USD,https://curatedthreadsoutdoors.com/products/curated-threads-outdoors-hoodie-mountain-fishing-hunting-sweatshirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=curated-threads-outdoors-hoodie-mountain-fishing-hunting-sweatshirt,https://i.etsystatic.com/57889570/r/il/3de021/8379182205/il_1588xN.8379182205_9spm.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton-polyester blend,US::Standard:0.00 USD
elk-hunting-mug-big-game-hunter-coffee-cup,"Elk Hunting Mug, Big Game Hunter Coffee Cup, Western Rifle Hunter Gift for Dad Mom Grandpa, Hunting Birthday Christmas Gift Idea",Bugles at first light and the long walk back down the mountain with meat on the frame inspired this elk hunting mug. Free shipping from our Etsy shop.,in stock,new,18.99 USD,https://curatedthreadsoutdoors.com/products/elk-hunting-mug-big-game-hunter-coffee-cup?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=elk-hunting-mug-big-game-hunter-coffee-cup,https://i.etsystatic.com/57889570/r/il/7bea78/8298813626/il_1588xN.8298813626_8bzp.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Home & Garden > Kitchen & Dining,,,,,ceramic,US::Standard:0.00 USD
elk-hunting-shirt-big-game-hunter-graphic-tee,"Elk Hunting Shirt, Big Game Hunter Graphic Tee, Western Rifle Hunter Gift for Dad Mom Grandpa, Hunting Birthday Christmas Gift",This big game hunter tee is for the one who chases bugles at first light and lives for the pack-out. Free shipping from our Etsy shop.,in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/elk-hunting-shirt-big-game-hunter-graphic-tee?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=elk-hunting-shirt-big-game-hunter-graphic-tee,https://i.etsystatic.com/57889570/r/il/e75b63/8298811234/il_1588xN.8298811234_jd86.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,20.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
faith-freedom-unity-distressed-american-flag-t-shirt,"Faith Freedom Unity Distressed American Flag T-Shirt, Patriotic USA Pride Tee","This tee keeps things simple: a bold, distressed American flag centered on the chest with three words underneath that say everything they need to, Faith.",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/faith-freedom-unity-distressed-american-flag-t-shirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=faith-freedom-unity-distressed-american-flag-t-shirt,https://i.etsystatic.com/57889570/r/il/6ba2aa/8296641845/il_1588xN.8296641845_aey6.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
fishing-koozie-marlin-deep-sea-fishing-koozie,"Fishing koozie, Marlin Deep Sea Fishing Koozie, Fisherman Gift for Dad Mom Grandpa, Fishing Birthday Christmas Gift Idea, Can Cooler","Cold drinks and salt air come standard with this marlin koozie, built for the angler who measures a good day by tight lines and a full cooler.",in stock,new,15.99 USD,https://curatedthreadsoutdoors.com/products/fishing-koozie-marlin-deep-sea-fishing-koozie?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=fishing-koozie-marlin-deep-sea-fishing-koozie,https://i.etsystatic.com/57889570/r/il/99aa7e/8291951925/il_1588xN.8291951925_plys.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware,Home & Garden > Kitchen & Dining,,,,,neoprene,US::Standard:0.00 USD
freedom-american-flag-shirt-distressed-patriotic-tee-4th-of-july-gift,"Freedom American Flag Shirt, Distressed Patriotic Tee, 4th of July Gift","This Freedom tee keeps things simple: a bold, distressed American flag centered on the chest with one word underneath that says everything it needs to.",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/freedom-american-flag-shirt-distressed-patriotic-tee-4th-of-july-gift?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=freedom-american-flag-shirt-distressed-patriotic-tee-4th-of-july-gift,https://i.etsystatic.com/57889570/r/il/076335/8248722236/il_1588xN.8248722236_49bh.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
funny-big-buck-baby-deer-hunting-t-shirt-whitetail-graphic-tee,"Funny Big Buck Baby Deer Hunting T-Shirt, Whitetail Graphic Tee","This funny deer hunting tee mixes rugged outdoor humor with everyday comfort, the kind of graphic tee that fits right in at hunting camp or around town.",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/funny-big-buck-baby-deer-hunting-t-shirt-whitetail-graphic-tee?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=funny-big-buck-baby-deer-hunting-t-shirt-whitetail-graphic-tee,https://i.etsystatic.com/57889570/r/il/b70cc9/8085240308/il_1588xN.8085240308_fdvx.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
funny-fishing-koozie-rainbow-trout-can-cooler-fishing-gift-for-men-women,"Funny Fishing Koozie, Rainbow Trout Can Cooler, Fishing Gift for Men Women",This trout koozie is built for that first cold one after a long morning of casting. Free shipping from our Etsy shop.,in stock,new,15.99 USD,https://curatedthreadsoutdoors.com/products/funny-fishing-koozie-rainbow-trout-can-cooler-fishing-gift-for-men-women?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=funny-fishing-koozie-rainbow-trout-can-cooler-fishing-gift-for-men-women,https://i.etsystatic.com/57889570/r/il/b9861f/8248742148/il_1588xN.8248742148_8mta.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware,Home & Garden > Kitchen & Dining,,,,,neoprene,US::Standard:0.00 USD
funny-fishing-mug-for-men-rainbow-trout-fly-fishing-coffee-cup,"Funny Fishing Mug for Men, Rainbow Trout Fly Fishing Coffee Cup, Fisherman Gift",This funny fishing mug is for the person who already owns three tackle boxes and still swears they need one more rod. Free shipping from our Etsy shop.,in stock,new,18.99 USD,https://curatedthreadsoutdoors.com/products/funny-fishing-mug-for-men-rainbow-trout-fly-fishing-coffee-cup?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=funny-fishing-mug-for-men-rainbow-trout-fly-fishing-coffee-cup,https://i.etsystatic.com/57889570/r/il/061235/8243687540/il_1588xN.8243687540_2o5e.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Home & Garden > Kitchen & Dining,,,,,ceramic,US::Standard:0.00 USD
funny-fishing-shirt-rainbow-trout-fly-fishing-graphic-tee,"Funny Fishing Shirt, Rainbow Trout Fly Fishing Graphic Tee, Fisherman Gift for Dad Mom Grandpa, Fishing Birthday Christmas Gift Idea",Some people need an alarm clock. Others just need to know the river opens at first light. Free shipping from our Etsy shop.,in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/funny-fishing-shirt-rainbow-trout-fly-fishing-graphic-tee?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=funny-fishing-shirt-rainbow-trout-fly-fishing-graphic-tee,https://i.etsystatic.com/57889570/r/il/2e9076/7974279212/il_1588xN.7974279212_1p8i.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
funny-hunting-hoodie-deer-in-my-freezer-sweatshirt,"Funny Hunting Hoodie, Deer In My Freezer Sweatshirt, Whitetail Buck Hunter Gift for Dad Mom, Hunting Birthday Christmas Gift","Every deer hunter has heard some version of the joke: fitness is measured in pounds of venison, not miles on a treadmill. Free shipping from our Etsy shop.",in stock,new,49.99 USD,https://curatedthreadsoutdoors.com/products/funny-hunting-hoodie-deer-in-my-freezer-sweatshirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=funny-hunting-hoodie-deer-in-my-freezer-sweatshirt,https://i.etsystatic.com/57889570/r/il/698945/8302145722/il_1588xN.8302145722_zqx6.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton-polyester blend,US::Standard:0.00 USD
funny-hunting-mug-deer-in-my-freezer-coffee-cup,"Funny Hunting Mug, Deer In My Freezer Coffee Cup, Whitetail Buck Hunter Gift for Dad Mom, Hunting Birthday Christmas Gift Idea","Every deer hunter has heard some version of the joke: fitness is measured in pounds of venison, not miles on a treadmill. Free shipping from our Etsy shop.",in stock,new,18.99 USD,https://curatedthreadsoutdoors.com/products/funny-hunting-mug-deer-in-my-freezer-coffee-cup?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=funny-hunting-mug-deer-in-my-freezer-coffee-cup,https://i.etsystatic.com/57889570/r/il/c9bb04/8292071017/il_1588xN.8292071017_r2ct.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Home & Garden > Kitchen & Dining,,,,,ceramic,US::Standard:0.00 USD
funny-spike-ive-got-a-big-buck-baby-mixing-glass-16oz,"Funny Spike - Ive Got a Big Buck Baby Mixing Glass, 16oz, Deer Hunting Barware","This 16oz mixing glass brings a playful outdoorsy spirit to any bar cart. A bold, vintage-style deer illustration and the cheeky line ""I've got a Big Buck…",in stock,new,24.99 USD,https://curatedthreadsoutdoors.com/products/funny-spike-ive-got-a-big-buck-baby-mixing-glass-16oz?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=funny-spike-ive-got-a-big-buck-baby-mixing-glass-16oz,https://i.etsystatic.com/57889570/r/il/a52a19/7854385415/il_1588xN.7854385415_30yg.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Barware,Home & Garden > Kitchen & Dining,,,,,glass,US::Standard:0.00 USD
geometric-whitetail-buck-hoodie-nature-lover-gift,"Geometric Whitetail Buck Hoodie, Minimalist Whitetail Deer Sweatshirt, Nature Lover Gift for Dad, Cabin Birthday Christmas Gift Idea","A boldly illustrated geometric buck with clean faceted lines on a warm 8 oz cotton-poly fleece hoodie, made for cabin evenings and long weekends off the grid. Free shipping from our Etsy shop.",in stock,new,49.99 USD,https://curatedthreadsoutdoors.com/products/geometric-whitetail-buck-hoodie-nature-lover-gift?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=geometric-whitetail-buck-hoodie-nature-lover-gift,https://i.etsystatic.com/57889570/r/il/774d72/8470981167/il_1588xN.8470981167_oz38.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton-polyester blend,US::Standard:0.00 USD
geometric-whitetail-buck-tee-nature-lover-gift,"Geometric Whitetail Buck Tee, Whitetail Deer Shirt, Nature Lover Gift for Dad, Outdoor Cabin Birthday Christmas Gift Idea","A boldly illustrated geometric whitetail buck with clean faceted lines on soft 100% cotton, made for the outdoor lover who skips loud logos. Free shipping from our Etsy shop.",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/geometric-whitetail-buck-tee-nature-lover-gift?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=geometric-whitetail-buck-tee-nature-lover-gift,https://i.etsystatic.com/57889570/r/il/86e3df/8470761551/il_1588xN.8470761551_b48y.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,,,unisex,adult,cotton,US::Standard:0.00 USD
gone-fishing-mug-vintage-rainbow-trout-fly-fishing-coffee-cup,"Gone Fishing Mug, Vintage Rainbow Trout Fly Fishing Coffee Cup, Fisherman Gift for Dad Mom, Fishing Birthday Christmas Gift Idea","Slow mornings before the river call for a mug that fits right in with the flies, the compass, and the last unfinished cup of coffee. Free shipping from our Etsy shop.",in stock,new,18.99 USD,https://curatedthreadsoutdoors.com/products/gone-fishing-mug-vintage-rainbow-trout-fly-fishing-coffee-cup?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=gone-fishing-mug-vintage-rainbow-trout-fly-fishing-coffee-cup,https://i.etsystatic.com/57889570/r/il/fed4eb/8290629244/il_1588xN.8290629244_cxa3.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Home & Garden > Kitchen & Dining,,,,,ceramic,US::Standard:0.00 USD
hook-line-and-sinker-blue-marlin-fishing-shirt,"Hook Line and Sinker Blue Marlin Fishing Shirt, Blue Marlin T-Shirt, Deep Sea Fishing Gift, Saltwater Angler Tee, Fisherman Gift","Hook, Line, and Sinker captures the feeling of early morning light on the bow: slow, steady, and full of the promise of a good fight. Free shipping from our Etsy shop.",in stock,new,27.99 USD,https://curatedthreadsoutdoors.com/products/hook-line-and-sinker-blue-marlin-fishing-shirt?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=hook-line-and-sinker-blue-marlin-fishing-shirt,https://i.etsystatic.com/57889570/r/il/53ee04/8243850926/il_1588xN.8243850926_156m.jpg,Curated Threads Outdoors,Apparel & Accessories > Clothing > Shirts & Tops,Clothing & Accessories > Clothing,21.99 USD,,unisex,adult,cotton,US::Standard:0.00 USD
hook-line-and-sinker-marlin-fishing-mug,"Hook, Line, & Sinker Marlin Fishing Mug, Deep Sea Sportfishing Coffee Cup, Saltwater Fisherman Gift for Dad Mom, Fishing Mug",Slow mornings before the boat leaves and long afternoons spent reliving the last catch both deserve a mug that fits the mood. Free shipping from our Etsy shop.,in stock,new,18.99 USD,https://curatedthreadsoutdoors.com/products/hook-line-and-sinker-marlin-fishing-mug?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=hook-line-and-sinker-marlin-fishing-mug,https://i.etsystatic.com/57889570/r/il/2b492f/8291723039/il_1588xN.8291723039_lfpv.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Coffee & Tea Cups,Home & Garden > Kitchen & Dining,,,,,ceramic,US::Standard:0.00 USD
i-ve-got-a-big-buck-baby-pint-glass-16oz-mixing-glass-deer-antler-design,"I've Got a Big Buck Baby Pint Glass, 16oz Mixing Glass, Deer Antler Design",This 16oz mixing glass brings rugged lodge charm to whatever you are pouring. Free shipping from our Etsy shop.,in stock,new,24.99 USD,https://curatedthreadsoutdoors.com/products/i-ve-got-a-big-buck-baby-pint-glass-16oz-mixing-glass-deer-antler-design?utm_source=facebook&utm_medium=catalog&utm_campaign=meta_catalog&utm_content=i-ve-got-a-big-buck-baby-pint-glass-16oz-mixing-glass-deer-antler-design,https://i.etsystatic.com/57889570/r/il/8bbed4/7806442672/il_1588xN.7806442672_e7eb.jpg,Curated Threads Outdoors,Home & Garden > Kitchen & Dining > Tableware > Drinkware > Barware,Home & Garden > Kitchen & Dining,,,,,glass,US::Standard:0.00 USD
